time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,8167,0,0,52,0,0,0
10,7200,0,0,3,0,0,0
15,7159,0,0,5,0,0,0
20,7340,0,0,4,0,0,0
25,7243,0,0,3,0,0,0
30,7020,0,0,4,0,0,0
35,7131,0,0,4,0,0,0
40,7430,0,0,3,0,0,0
45,7351,0,0,6,0,0,0
50,7398,0,0,3,0,0,0
55,7251,0,0,5,0,0,0
60,6903,0,0,54,0,0,0
65,7007,0,0,5,0,0,0
70,7137,0,0,2,0,0,0
75,7207,0,0,5,0,0,0
80,6873,0,0,83,0,0,0
85,6932,0,0,10,0,0,0
90,7069,0,0,8,0,0,0
95,7212,0,0,2,0,0,0
100,7489,0,0,2,0,0,0
105,6970,0,0,45,0,0,0
110,7074,0,0,3,0,0,0
115,7078,0,0,7,0,0,0
120,7307,0,0,2,0,0,0
125,7378,0,0,57,0,0,0
130,7309,0,0,5,0,0,0
135,7085,0,0,8,0,0,0
140,7185,0,0,7,0,0,0
145,7244,0,0,4,0,0,0
150,6954,0,0,8,0,0,0
155,7011,0,0,18,0,0,0
160,7361,0,0,4,0,0,0
165,7153,0,0,21,0,0,0
170,6998,0,0,70,0,0,0
175,7011,0,0,5,0,0,0
180,7302,0,0,9,0,0,0
185,7339,0,0,5,0,0,0
190,7078,0,0,28,0,0,0
195,6928,0,0,11,0,0,0
200,6914,0,0,4,0,0,0
205,6905,0,0,5,0,0,0
210,7015,0,0,123,0,0,0
215,7257,0,0,16,0,0,0
220,7427,0,0,3,0,0,0
225,7363,0,0,12,0,0,0
230,7275,0,0,87,0,0,0
235,7398,0,0,5,0,0,0
240,7376,0,0,3,0,0,0
245,7453,0,0,6,0,0,0
250,7289,0,0,87,0,0,0
255,7292,0,0,11,0,0,0
260,7259,0,0,2,0,0,0
265,7290,0,0,5,0,0,0
270,7247,0,0,6,0,0,0
275,7412,0,0,3,0,0,0
280,7306,0,0,5,0,0,0
285,7368,0,0,5,0,0,0
290,7168,0,0,5,0,0,0
295,7104,0,0,11,0,0,0
300,7444,0,0,2,0,0,0
305,7017,0,0,8,0,0,0
310,7009,0,0,16,0,0,0
315,7301,0,0,5,0,0,0
320,7108,0,0,5,0,0,0
325,7221,0,0,4,0,0,0
330,7286,0,0,5,0,0,0
335,7218,0,0,115,0,0,0
340,7298,0,0,6,0,0,0
345,7393,0,0,5,0,0,0
350,7288,0,0,9,0,0,0
355,7115,0,0,129,0,0,0
360,7399,0,0,6,0,0,0
365,7136,0,0,6,0,0,0
370,7345,0,0,6,0,0,0
375,6882,0,0,31,0,0,0
380,6608,0,0,16,0,0,0
385,6061,0,0,9,0,0,0
390,7315,0,0,21,0,0,0
395,7356,0,0,7,0,0,0
400,7356,0,0,7,0,0,0
405,7313,0,0,11,0,0,0
410,6919,0,0,12,0,0,0
415,7155,0,0,8,0,0,0
420,7258,0,0,13,0,0,0
425,7233,0,0,11,0,0,0
430,7088,0,0,21,0,0,0
435,6162,0,0,79,0,0,0
440,6972,0,0,14,0,0,0
445,6603,0,0,9,0,0,0
450,6749,0,0,29,0,0,0
455,7177,0,0,7,0,0,0
460,7438,0,0,20,0,0,0
465,6973,0,0,15,0,0,0
470,7209,0,0,3,0,0,0
475,7420,0,0,13,0,0,0
480,7422,0,0,19,0,0,0
485,7376,0,0,19,0,0,0
490,7383,0,0,17,0,0,0
495,7392,0,0,22,0,0,0

UPDATE_ITEM - committed: 572396, aborted: 0, avg latency: 0 ms
READ_ITEM - committed: 144022, aborted: 0, avg latency: 0 ms
TOTAL - committed: 716418, aborted: 0, avg latency: 0 ms
