time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,9918,0,0,2,0,0,0
10,8123,0,0,5,0,0,0
15,8104,0,0,22,0,0,0
20,8060,0,0,6,0,0,0
25,7118,0,0,78,0,0,0
30,7906,0,0,3,0,0,0
35,7926,0,0,2,0,0,0
40,7868,0,0,6,0,0,0
45,7813,0,0,11,0,0,0
50,8060,0,0,2,0,0,0
55,7904,0,0,95,0,0,0
60,8164,0,0,2,0,0,0
65,8233,0,0,2,0,0,0
70,8178,0,0,2,0,0,0
75,8210,0,0,63,0,0,0
80,8231,0,0,2,0,0,0
85,8021,0,0,102,0,0,0
90,8061,0,0,4,0,0,0
95,8305,0,0,3,0,0,0
100,8246,0,0,5,0,0,0
105,8188,0,0,4,0,0,0
110,8111,0,0,55,0,0,0
115,8327,0,0,2,0,0,0
120,8312,0,0,2,0,0,0
125,8289,0,0,3,0,0,0
130,8142,0,0,57,0,0,0
135,8226,0,0,5,0,0,0
140,8299,0,0,2,0,0,0
145,8182,0,0,70,0,0,0
150,8200,0,0,3,0,0,0
155,8247,0,0,2,0,0,0
160,8045,0,0,6,0,0,0
165,7771,0,0,77,0,0,0
170,8220,0,0,18,0,0,0
175,8299,0,0,2,0,0,0
180,8335,0,0,3,0,0,0
185,8205,0,0,76,0,0,0
190,8130,0,0,5,0,0,0
195,8262,0,0,5,0,0,0
200,8154,0,0,3,0,0,0
205,8240,0,0,3,0,0,0
210,8172,0,0,66,0,0,0
215,8192,0,0,7,0,0,0
220,5871,0,0,6,0,0,1
225,3472,1,0,6,1,1,1
230,3187,1,0,16,1,1,1
235,3436,1,0,7,1,1,1
240,3326,1,0,6,1,1,1
245,2823,1,0,47,1,1,1
250,3421,1,0,13,1,1,1
255,7142,0,0,123,0,0,0
260,8277,0,0,3,0,0,0
265,8236,0,0,3,0,0,0
270,8237,0,0,4,0,0,0
275,8037,0,0,99,0,0,0
280,8202,0,0,5,0,0,0
285,8177,0,0,10,0,0,0
290,5064,0,0,4,0,0,1
295,3612,1,0,148,0,1,1
300,3751,1,0,309,0,1,1
305,3970,1,0,5,0,1,1
310,3823,1,0,8,0,1,1
315,5943,0,0,8,0,0,0
320,7599,0,0,8,0,0,0
325,7592,0,0,6,0,0,0
330,7673,0,0,8,0,0,0
335,7915,0,0,8,0,0,0
340,7985,0,0,8,0,0,0
345,7507,0,0,132,0,0,0
350,7469,0,0,23,0,0,0
355,7493,0,0,71,0,0,0
360,7998,0,0,8,0,0,0
365,7848,0,0,70,0,0,0
370,7914,0,0,11,0,0,0
375,7510,0,0,15,0,0,0
380,7492,0,0,171,0,0,0
385,7583,0,0,11,0,0,0
390,7527,0,0,151,0,0,0
395,7776,0,0,21,0,0,0
400,7797,0,0,9,0,0,0
405,7960,0,0,12,0,0,0
410,8012,0,0,17,0,0,0
415,7712,0,0,91,0,0,0
420,7979,0,0,5,0,0,0
425,7599,0,0,71,0,0,0
430,7686,0,0,17,0,0,0
435,7924,0,0,12,0,0,0
440,7940,0,0,49,0,0,0
445,7926,0,0,21,0,0,0
450,7772,0,0,14,0,0,0
455,7750,0,0,206,0,0,0
460,7589,0,0,21,0,0,0
465,7760,0,0,5,0,0,0
470,7937,0,0,22,0,0,0
475,7906,0,0,19,0,0,0
480,7868,0,0,16,0,0,0
485,7975,0,0,69,0,0,0
490,7674,0,0,63,0,0,0
495,7916,0,0,17,0,0,0

UPDATE_ITEM - committed: 372007, aborted: 0, avg latency: 0 ms
READ_ITEM - committed: 372764, aborted: 0, avg latency: 0 ms
TOTAL - committed: 744771, aborted: 0, avg latency: 0 ms
