time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,1236,4,3,16,4,4,4
10,1060,4,3,14,4,4,4
15,1031,4,3,15,4,4,5
20,1096,4,3,14,4,4,4
25,1073,4,3,23,4,4,4
30,1091,4,3,15,4,4,4
35,1087,4,3,26,4,4,4
40,1089,4,3,14,4,4,4
45,1099,4,3,16,4,4,4
50,1096,4,3,15,4,4,4
55,1108,4,3,15,4,4,4
60,1098,4,3,23,4,4,4
65,996,5,3,61,4,4,4
70,1021,4,3,15,4,4,5
75,1015,4,3,14,4,4,5
80,1068,4,3,15,4,4,4
85,1022,4,3,15,4,4,5
90,1006,4,3,31,4,4,5
95,1002,4,3,149,4,4,5
100,1039,4,3,13,4,4,5
105,1096,4,3,15,4,4,4
110,1077,4,3,15,4,4,4
115,1067,4,3,14,4,4,4
120,1022,4,3,15,4,4,5
125,977,5,3,15,4,4,5
130,1015,4,3,14,4,4,5
135,1064,4,3,14,4,4,4
140,1053,4,3,15,4,4,4
145,1047,4,3,32,4,4,4
150,956,5,3,77,4,4,5
155,1033,4,3,18,4,4,5
160,1029,4,3,16,4,4,5
165,989,5,3,17,4,4,5
170,980,5,3,70,4,4,5
175,853,5,3,31,4,5,6
180,1027,4,3,23,4,4,5
185,933,5,3,39,4,4,5
190,1094,4,3,25,4,4,4
195,1115,4,3,22,4,4,4
200,1107,4,3,22,4,4,4
205,1102,4,3,25,4,4,4
210,1104,4,3,16,4,4,4
215,1107,4,3,17,4,4,4
220,1077,4,3,16,4,4,4
225,1096,4,3,17,4,4,4
230,1068,4,3,18,4,4,4
235,1095,4,3,18,4,4,4
240,1006,4,3,16,4,4,5
245,1030,4,3,15,4,4,5
250,1040,4,3,18,4,4,4
255,1055,4,3,21,4,4,4
260,929,5,3,33,4,4,5
265,833,5,3,36,4,5,6
270,960,5,3,28,4,4,5
275,1028,4,3,31,4,4,4
280,959,5,3,21,4,4,5
285,1009,4,3,27,4,4,5
290,1019,4,3,21,4,4,4
295,946,5,3,38,4,4,5
300,1025,4,3,111,4,4,4
305,1024,4,3,28,4,4,5
310,1080,4,3,21,4,4,4
315,1009,4,3,42,4,4,4
320,359,13,5,160,9,12,15
325,488,10,4,30,7,9,12
330,655,7,4,22,6,7,8
335,594,8,4,29,6,7,9
340,683,7,4,25,6,7,8
345,911,5,3,22,4,5,6
350,732,6,4,39,5,6,7
355,693,7,4,28,5,6,8
360,914,5,3,23,4,5,5
365,953,5,3,52,4,4,5
370,566,8,3,88,5,6,8
375,412,12,5,185,8,10,13
380,509,9,5,23,7,9,11
385,771,6,3,47,5,6,6
390,1014,4,3,20,4,4,5
395,972,5,3,38,4,4,5
400,736,6,3,78,5,5,7
405,980,5,3,21,4,4,5
410,879,5,3,33,4,5,5
415,854,5,3,25,5,5,6
420,954,5,3,25,4,5,5
425,1001,4,3,22,4,4,5
430,966,5,3,23,4,4,5
435,984,5,3,20,4,4,5
440,967,5,3,25,4,5,5
445,953,5,3,21,4,5,5
450,986,5,3,20,4,4,5
455,980,5,3,148,4,4,5
460,1007,4,3,18,4,4,5
465,914,5,3,27,4,5,5
470,939,5,3,21,4,5,5
475,943,5,3,22,4,5,5
480,989,5,3,19,4,4,5
485,995,5,3,58,4,4,5
490,1073,4,3,20,4,4,4
495,1086,4,3,22,4,4,4

UPDATE_ITEM - committed: 77221, aborted: 0, avg latency: 5 ms
READ_ITEM - committed: 19535, aborted: 0, avg latency: 4 ms
TOTAL - committed: 96756, aborted: 0, avg latency: 5 ms
